단어/문장,한글해석,한글발음
be,"이다, 있다",[be]
the,그,[the]
and,그리고,[and]
of,의,[of]
to,"로, 에게",[to]
in,안에,[in]
have,"가지다, 소유하다",[have]
it,그것,[it]
you,"너, 당신",[you]
for,를 위해,[for]
do,하다,[do]
we,우리,[we]
they,그들,[they]
that,"저것, 라는 것",[that]
on,위에,[on]
This,이것,[This]
but,하지만,[but]
with,와 함께,[with]
not,아니다,[not]
or,또는,[or]
at,에서,[at]
he,그,[he]
from,로부터,[from]
as,"로서, 처럼",[as]
can,할 수 있다,[can]
what,무엇,[what]
about,에 대해,[about]
She,그녀,[She]
so,그래서,[so]
if,만약 라면,[if]
by,에 의해,[by]
get,"얻다, 받다",[get]
will,할 것이다,[will]
people,사람들,[people]
go,가다,[go]
which,어느 것,[which]
make,만들다,[make]
think,생각하다,[think]
who,누구,[who]
all,모든,[all]
time,시간,[time]
know,알다,[know]
when,"언제, 할 때",[when]
there,거기에,[there]
some,약간의,[some]
now,지금,[now]
out,밖으로,[out]
up,위로,[up]
how,어떻게,[how]
like,"좋아하다, 처럼",[like]
use,사용하다,[유즈]
year,"해, 년",[year]
way,"길, 방법",[웨이]
take,"취하다, 가져가다",[take]
other,다른,[other]
see,보다,[see]
many,많은,[many]
because,왜냐하면,[because]
very,매우,[very]
than,보다,[than]
find,찾다,[find]
new,새로운,[new]
much,많은,[much]
then,"그때, 그리고 나서",[then]
look,보다,[look]
come,오다,[come]
here,여기에,[here]
good,좋은,[good]
world,"세계, 세상",[world]
want,원하다,[want]
no,아니다,[no]
into,안으로,[into]
work,"일, 작업",[워크]
thing,"것, 물건",[thing]
give,주다,[give]
may,일지도 모른다,[may]
ask,"묻다, 요청하다",[ask]
feel,느끼다,[feel]
even,심지어,[even]
talk,이야기하다,[talk]
need,필요하다,[니드]
tell,말해주다,[tell]
call,"부르다, 전화하다",[콜]
over,"위에, 너머",[over]
only,오직,[only]
right,"옳은, 오른쪽",[right]
question,질문,[question]
woman,여자,[woman]
too,"또한, 너무",[too]
become,이 되다,[become]
why,왜,[why]
let,하게 하다,[let]
start,시작하다,[스타트]
try,시도하다,[try]
today,오늘,[today]
again,다시,[again]
where,어디에,[where]
child,아이,[child]
after,후에,[after]
back,"등, 뒤로",[back]
hear,듣다,[hear]
any,어떤,[any]
problem,문제,[프로블럼]
word,단어,[word]
show,보여주다,[show]
help,돕다,[help]
down,아래로,[down]
big,큰,[big]
man,"남자, 사람",[man]
country,"나라, 시골",[컨트리]
Yes,네,[Yes]
through,를 통해,[through]
between,사이에,[between]
put,놓다,[put]
lot,"운, 운세",[lot]
live,살다,[live]
before,전에,[before]
same,같은,[same]
place,장소,[플레이스]
happen,"일어나다, 발생하다",[happen]
keep,유지하다,[킵]
old,"나이 든, 오래된",[old]
group,"그룹, 무리",[그룹]
great,위대한,[great]
off,"떨어져, 끊어져",[off]
learn,배우다,[learn]
little,"작은, 거의 없는",[little]
high,높은,[high]
money,돈,[money]
around,주위에,[around]
long,"길다, 오랜",[long]
end,끝,[end]
fact,사실,[fact]
next,다음의,[next]
change,변화하다,[체인지]
kind,"종류, 친절한",[kind]
job,직업,[잡]
number,숫자,[number]
idea,"아이디어, 생각",[idea]
service,서비스,[service]
play,"놀다, 연주하다",[play]
always,항상,[always]
often,자주,[often]
move,움직이다,[move]
family,가족,[family]
never,결코 않다,[never]
small,작은,[small]
